NAME,STATUS,VOTES,LAST VOTED
Irene Vanessa,not_evicted,2862,2022-06-28 12:08:26
Mimi,not_evicted,2327,2022-06-28 08:17:34
Florence,not_evicted,1982,2022-06-25 08:55:02
Dzifa,not_evicted,1907,2022-06-27 17:54:35
Rocklyn,not_evicted,1394,2022-06-26 21:30:48
Yirenkyiwaa,not_evicted,725,2022-06-19 18:45:42
Emefa,not_evicted,679,2022-06-15 21:42:22
Baroness,not_evicted,620,2022-06-28 07:49:20
Francisca,not_evicted,602,2022-06-27 14:11:11
Esi,not_evicted,426,2022-06-14 21:17:39
Esther,not_evicted,371,2022-06-25 10:23:32
Miriam,not_evicted,342,2022-06-28 09:40:47
Cassie,not_evicted,198,2022-06-27 06:17:55
Angela,not_evicted,118,2022-06-22 14:31:12
Rukayatu,not_evicted,65,2022-06-11 14:24:03
Diana,not_evicted,20,2022-06-05 20:20:40
Rebecca,not_evicted,5,2022-06-27 20:06:56
Ayishetu,not_evicted,0,2022-06-22 09:25:52
